"STATION","NAME","DATE","TMAX"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-01","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-02","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-03","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-04","78"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-05","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-06","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-07","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-08","77"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-09","79"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-10","82"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-11","87"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-12","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-13","75"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-14","69"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-15","70"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-16","78"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-17","84"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-18","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-19","77"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-20","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-21","87"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-22","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-23","87"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-24","81"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-25","90"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-26","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-27","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-28","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-29","76"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-04-30","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-01","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-02","80"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-03","77"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-04","71"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-05","58"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-06","66"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-07","64"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-08","74"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-09","70"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-10","68"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-11","62"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-12","60"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-13","64"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-14","65"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-15","64"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-16","61"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-17","56"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-18","55"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-19","52"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-20","60"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-21","66"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-22","70"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-23","72"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-24","70"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-25","73"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-26","69"
"AR000875850","BUENOS AIRES OBSERV, AR","1970-05-27","73"
